x,y,mwir,lat,lon
986.0,704.0,85.666504,-16.089861136026286,-68.24406111581744
990.0,707.0,70.799805,-16.087782023719406,-68.25178785409388
986.0,704.0,58.666504,-16.08144610389452,-68.24576125500823
990.0,707.0,298.7998,-16.054123500393892,-68.25858861271368
986.0,704.0,58.666504,-16.030959621822838,-68.25596541065828
990.0,707.0,290.7998,-15.995228343589485,-68.27049547917221
990.0,707.0,80.799805,-15.961578283990075,-68.27730250052059
990.0,707.0,68.799805,-15.89428866213892,-68.29092338450755
840.0,683.0,75.0,-15.77252118084217,-68.04498912402109
840.0,683.0,92.0,-15.764112865663211,-68.04670537538452
840.0,683.0,67.0,-15.873435257543933,-68.02439811073599
840.0,683.0,87.0,-15.848204395586045,-68.02954503861618
840.0,683.0,58.0,-15.965963324438409,-68.00553062581268
840.0,683.0,66.0,-15.94072605882792,-68.0106756410139
840.0,683.0,78.0,-16.024861706956138,-67.99350654995217
89.43478260869566,682.2173913043479,147.27536952173912,-15.541204612461152,-66.74858901892621
79.0,750.0,143.8667,-15.641990161893242,-66.70927914093228
79.0,750.0,138.8667,-15.633588042155392,-66.7110610242139
79.0,750.0,136.8667,-15.658794742159238,-66.70571412372139
79.0,750.0,124.8667,-15.885715482722702,-66.65745227619924
79.0,750.0,113.8667,-15.877306436378566,-66.65923665198703
79.0,750.0,110.8667,-15.852089052059336,-66.6646120618652
79.0,750.0,116.8667,-15.843683517100727,-66.66640307786282
79.0,750.0,128.8667,-15.860494719713213,-66.66282051179643
79.0,750.0,121.8667,-15.801657369095912,-66.67535290749055
79.0,750.0,122.8667,-15.793252639539478,-66.67714189636662
79.0,750.0,124.8667,-15.810062233982682,-66.67356372092213
79.0,750.0,122.8667,-15.818467218791014,-66.67177417072679
79.0,750.0,115.8667,-15.826872861995955,-66.6699840098627
79.0,750.0,130.8667,-15.768039222338789,-66.68250617086831
79.0,750.0,94.8667,-15.759635038495494,-66.6842936969102
79.0,750.0,113.8667,-15.776443543268817,-66.68071844726009
79.0,750.0,130.8667,-15.692405597737372,-66.6985798762882
79.0,750.0,110.8667,-15.68400266744737,-66.70036394465531
79.0,750.0,135.8667,-15.70080916294957,-66.69679537052026
79.0,750.0,128.8667,-15.726019203828967,-66.69143971071357
79.0,750.0,133.8667,-15.717615712013126,-66.69322524080721
79.0,750.0,122.8667,-15.734422834926786,-66.6896538151161
79.0,750.0,133.8667,-15.742826589900144,-66.68786738807457
79.0,750.0,110.8667,-15.902536736606756,-66.65389523265765
90.0,732.0,71.6001,-15.917928954045486,-66.67023056942554
79.0,750.0,115.8667,-15.92776980678417,-66.64855673931007
28.0,764.0,72.333496,-15.918006714520342,-66.5590775077477
304.9767441860465,719.3953488372093,102.84186495348837,-15.862583876704987,-67.06749852208257
323.0,741.0,78.666504,-15.881727677105122,-67.09614724319796
511.0,737.0,71.333496,-15.94355979669516,-67.42041151186764
550.0,751.0,73.8667,-15.887057043537489,-67.50241013167792
